2.97e+04,8.58e-02,9.90e-02,1.03e-01,2.20e-01,7.79e+02,4.34e+02
3.02e+04,7.27e-02,8.95e-02,1.03e-01,2.20e-01,7.80e+02,4.35e+02
3.07e+04,8.93e-02,1.03e-01,1.03e-01,2.32e-01,7.82e+02,4.37e+02
3.12e+04,8.40e-02,1.01e-01,1.03e-01,2.32e-01,7.82e+02,4.37e+02
3.17e+04,9.84e-02,1.09e-01,1.03e-01,2.59e-01,7.86e+02,4.43e+02
3.23e+04,9.57e-02,1.09e-01,1.03e-01,2.59e-01,7.85e+02,4.42e+02
3.28e+04,1.03e-01,1.14e-01,1.03e-01,2.49e-01,7.87e+02,4.45e+02
3.33e+04,9.85e-02,1.16e-01,1.03e-01,2.40e-01,7.87e+02,4.43e+02
3.38e+04,9.94e-02,1.13e-01,1.13e-01,2.39e-01,7.85e+02,4.43e+02
3.43e+04,1.04e-01,1.18e-01,1.18e-01,2.75e-01,7.86e+02,4.43e+02
3.48e+04,9.90e-02,1.19e-01,1.19e-01,2.64e-01,7.85e+02,4.42e+02
3.53e+04,1.11e-01,1.29e-01,1.29e-01,2.90e-01,7.88e+02,4.46e+02
3.58e+04,9.81e-02,1.11e-01,1.29e-01,2.90e-01,7.85e+02,4.43e+02
3.64e+04,1.03e-01,1.17e-01,1.29e-01,2.90e-01,7.85e+02,4.44e+02
3.69e+04,9.98e-02,1.16e-01,1.29e-01,2.90e-01,7.88e+02,4.46e+02
3.74e+04,1.04e-01,1.24e-01,1.29e-01,2.90e-01,7.89e+02,4.46e+02
3.79e+04,9.67e-02,1.10e-01,1.29e-01,2.90e-01,7.88e+02,4.46e+02
3.84e+04,8.90e-02,1.14e-01,1.29e-01,2.90e-01,7.85e+02,4.43e+02
3.89e+04,1.08e-01,1.21e-01,1.29e-01,2.90e-01,7.90e+02,4.47e+02
3.94e+04,1.15e-01,1.23e-01,1.29e-01,2.90e-01,7.92e+02,4.50e+02
3.99e+04,1.30e-01,1.43e-01,1.43e-01,3.02e-01,7.93e+02,4.50e+02
4.04e+04,1.13e-01,1.24e-01,1.43e-01,3.02e-01,7.93e+02,4.52e+02
4.10e+04,1.06e-01,1.16e-01,1.43e-01,3.02e-01,7.93e+02,4.51e+02
4.15e+04,1.07e-01,1.16e-01,1.43e-01,3.02e-01,7.93e+02,4.51e+02
4.20e+04,1.11e-01,1.23e-01,1.43e-01,3.02e-01,7.92e+02,4.51e+02
4.25e+04,1.18e-01,1.32e-01,1.43e-01,3.02e-01,7.92e+02,4.50e+02
4.30e+04,1.17e-01,1.30e-01,1.43e-01,3.02e-01,7.92e+02,4.50e+02
4.35e+04,9.58e-02,1.09e-01,1.43e-01,3.02e-01,7.92e+02,4.51e+02
4.40e+04,1.12e-01,1.23e-01,1.43e-01,3.02e-01,7.96e+02,4.56e+02
4.45e+04,9.88e-02,1.06e-01,1.43e-01,3.02e-01,7.96e+02,4.56e+02
4.51e+04,1.18e-01,1.27e-01,1.43e-01,3.02e-01,7.96e+02,4.57e+02
4.56e+04,1.27e-01,1.36e-01,1.43e-01,3.02e-01,7.96e+02,4.57e+02
4.61e+04,1.21e-01,1.29e-01,1.43e-01,3.02e-01,7.96e+02,4.56e+02
4.66e+04,1.10e-01,1.21e-01,1.43e-01,3.02e-01,7.96e+02,4.56e+02
4.71e+04,1.19e-01,1.30e-01,1.43e-01,3.02e-01,7.97e+02,4.57e+02
4.76e+04,1.23e-01,1.36e-01,1.43e-01,3.02e-01,7.97e+02,4.57e+02
4.81e+04,9.67e-02,1.07e-01,1.43e-01,3.02e-01,7.98e+02,4.59e+02
4.86e+04,1.16e-01,1.23e-01,1.43e-01,3.02e-01,7.97e+02,4.57e+02
4.92e+04,1.03e-01,1.13e-01,1.43e-01,3.02e-01,7.97e+02,4.57e+02
4.97e+04,1.23e-01,1.39e-01,1.43e-01,3.02e-01,7.96e+02,4.57e+02
5.02e+04,1.17e-01,1.25e-01,1.43e-01,3.02e-01,7.97e+02,4.58e+02
5.07e+04,1.05e-01,1.12e-01,1.43e-01,3.02e-01,7.96e+02,4.56e+02
5.12e+04,1.10e-01,1.20e-01,1.43e-01,3.02e-01,7.96e+02,4.57e+02
5.17e+04,1.23e-01,1.34e-01,1.43e-01,3.02e-01,7.98e+02,4.59e+02
5.22e+04,1.16e-01,1.25e-01,1.43e-01,3.02e-01,7.96e+02,4.57e+02
5.27e+04,1.06e-01,1.17e-01,1.43e-01,3.02e-01,7.96e+02,4.57e+02
5.32e+04,1.19e-01,1.32e-01,1.43e-01,3.02e-01,7.96e+02,4.56e+02
5.38e+04,1.15e-01,1.32e-01,1.43e-01,3.02e-01,7.97e+02,4.56e+02
5.43e+04,1.37e-01,1.46e-01,1.46e-01,3.25e-01,7.97e+02,4.59e+02
5.48e+04,9.98e-02,1.10e-01,1.46e-01,3.25e-01,7.96e+02,4.57e+02
5.53e+04,1.15e-01,1.25e-01,1.46e-01,3.25e-01,7.97e+02,4.60e+02
5.58e+04,1.05e-01,1.18e-01,1.46e-01,3.25e-01,7.99e+02,4.62e+02
5.63e+04,1.15e-01,1.26e-01,1.46e-01,3.25e-01,7.97e+02,4.58e+02
5.68e+04,1.17e-01,1.27e-01,1.46e-01,3.25e-01,7.97e+02,4.57e+02
5.73e+04,1.01e-01,1.18e-01,1.46e-01,3.25e-01,7.96e+02,4.57e+02
5.79e+04,1.28e-01,1.42e-01,1.46e-01,3.25e-01,7.97e+02,4.58e+02
5.84e+04,1.13e-01,1.22e-01,1.46e-01,3.25e-01,8.06e+02,4.69e+02
5.89e+04,1.29e-01,1.37e-01,1.46e-01,3.25e-01,8.07e+02,4.69e+02
5.94e+04,8.69e-02,9.39e-02,1.46e-01,3.25e-01,8.07e+02,4.69e+02
5.99e+04,1.06e-01,1.15e-01,1.46e-01,3.25e-01,8.07e+02,4.69e+02
6.04e+04,1.22e-01,1.37e-01,1.46e-01,3.25e-01,8.06e+02,4.69e+02
6.09e+04,1.36e-01,1.46e-01,1.46e-01,3.25e-01,8.07e+02,4.72e+02
6.14e+04,1.14e-01,1.25e-01,1.46e-01,3.25e-01,8.07e+02,4.70e+02
6.20e+04,1.36e-01,1.45e-01,1.46e-01,3.25e-01,8.06e+02,4.69e+02
6.25e+04,1.09e-01,1.21e-01,1.46e-01,3.25e-01,8.06e+02,4.70e+02
6.30e+04,1.28e-01,1.35e-01,1.46e-01,3.25e-01,8.06e+02,4.70e+02
6.35e+04,1.40e-01,1.50e-01,1.50e-01,3.22e-01,8.06e+02,4.69e+02
6.40e+04,1.37e-01,1.51e-01,1.51e-01,3.14e-01,8.06e+02,4.69e+02
